docId,series,inScope,title,sealSection,sealSectionTitle,subsection,fiscalYear,period,variant,sourceUrl,host,sourceOfRecord,status,httpStatus,retrievedAt,contentType,bytes,sha256,pages,pdfProducer,pdfCreatedAt,pageSize,kind,localPath,extraction,rowsExtracted,checksPassed,checksFailed,rowsAiVerified,notes
far1-2026-q2,far1,true,FY2026,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2026,Q2,,https://psc.gov.ph/psc_site/wp-content/uploads/2026/07/FY2026_2ndQ_FAR-No.-1.pdf,psc.gov.ph,psc,live,,,,6108588,07332a25acdbac383957cab5c69c046239b62f9d6f33c511d8e3509c04109e70,7,,Thu Jul 23 03:16:49 2026 BST,937.92 x 611.28 pts,,data/raw/far1/2026/far1-2026-q2.pdf,pending,,,,,
far1-2025-q4,far1,true,FY 2025,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2025,Q4,,https://psc.gov.ph/n4321/wp-content/uploads/2026/03/FAR-1_4thQ-2025.pdf,psc.gov.ph,psc,live,,,,6996101,7b63abc6968ee236069f881b214a1b8c33e1405498711a82aa7ea9c6716b4b6e,7,,Fri Feb 13 09:24:29 2026 GMT,937.68 x 609.6 pts,,data/raw/far1/2025/far1-2025-q4.pdf,pending,,,,,
far1-2024-q4,far1,true,FY 2024,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2024,Q4,,https://psc.gov.ph/psc_site/wp-content/uploads/2025/02/FAR1_4thQuarter-1.pdf,psc.gov.ph,psc,live,,,,9604930,847c03005216ce13ac34816692c39b073a7861138e57045d29ed8f48565904b9,10,,Wed Feb 12 02:38:43 2025 GMT,937.44 x 610.08 pts,,data/raw/far1/2024/far1-2024-q4.pdf,pending,,,,,
far1-2023-q4,far1,true,FY 2023,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2023,Q4,,https://psc.gov.ph/psc_site/wp-content/uploads/2024/02/FAR1_4thQuarterFY2023.pdf,psc.gov.ph,psc,live,,,,7537334,bfa5dc835fa1850176c49fc7c89acc36d227b35b8f1094a243734ec74f307092,7,,Thu Feb  1 07:11:55 2024 GMT,936.96 x 612.96 pts,,data/raw/far1/2023/far1-2023-q4.pdf,pending,,,,,
far1-2022-q4,far1,true,FY 2022,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2022,Q4,,https://psc.gov.ph/psc_site/wp-content/uploads/2023/10/FAR1_4thQ.pdf,psc.gov.ph,psc,live,,,,14987067,69ea079ff2a6c1f0291f627e31c7f6eb53ba708aff33c09122d7a8b085b97566,24,,,938.4 x 615.12 pts,,data/raw/far1/2022/far1-2022-q4.pdf,pending,,,,,
far1-2021-q4,far1,true,FY 2021,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2021,Q4,,https://psc.gov.ph/Transparency%20Seal/2021/FAR1-2021-4Q.pdf,psc.gov.ph,psc,live,,,,4580326,150d79aea441aa72aa6e2a5c163646b0385acf0efc722ed4eda8976e3e98642f,25,Adobe Acrobat Pro DC (32-bit) 21.7.20091,Thu Jan 27 09:55:31 2022 GMT,1008 x 612 pts,,data/raw/far1/2021/far1-2021-q4.pdf,pending,,,,,
far1-2020-q4,far1,true,FY 2020,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2020,Q4,,https://psc.gov.ph/Transparency%20Seal/2021/FAR1_4thQ032421.pdf,psc.gov.ph,psc,live,,,,12693247,9a014e303d16563e90bb83e9c0b180d7eb5469168116b187aac88009dbdd4f9a,24,,Wed Mar 24 01:47:49 2021 GMT,612.25 x 902.4 pts,,data/raw/far1/2020/far1-2020-q4.pdf,pending,,,,,
far1-2019-q4,far1,true,FY 2019,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2019,Q4,,https://psc.gov.ph/Transparency%20Seal/2019/FAR1_4q.pdf,psc.gov.ph,psc,live,,,,21673954,520245a8cf49d4f025156cfb7e51bac42ee34f2bf213f2d6b4ad2b47ded4618d,39,Adobe Acrobat Pro 11.0.0,Fri Feb  7 23:44:09 2020 GMT,605 x 912 pts,,data/raw/far1/2019/far1-2019-q4.pdf,pending,,,,,
far1-2018-q4,far1,true,FY 2018,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2018,Q4,,https://psc.gov.ph/Transparency%20Seal/2018/SAAODB_as%20of%204thQ.pdf,psc.gov.ph,psc,live,,,,10952395,3cc3dc8b1268a38ecbd0c813afb632d800094ecea28ed486b255ab02cd536680,20,Adobe Acrobat Pro 11.0.0,Wed Feb 27 18:25:35 2019 GMT,613 x 902 pts,,data/raw/far1/2018/far1-2018-q4.pdf,pending,,,,,
far1-2017-q4,far1,true,FY 2017,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2017,Q4,,https://psc.gov.ph/Transparency%20Seal/2017/FAR1%20-%20q4.pdf,psc.gov.ph,psc,live,,,,8354180,8649f576dda97169cda1e5cc76c00931808d3e8343c83978961fbdfdb8118f73,16,Adobe Acrobat Pro 11.0.0,Thu Feb 22 00:19:36 2018 GMT,612 x 1008 pts,,data/raw/far1/2017/far1-2017-q4.pdf,pending,,,,,
far1-2016,far1,true,FY 2016,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2016,FY,,http://www.web.psc.gov.ph/Transparency/2016/FAR%20No.1%202016.pdf,www.web.psc.gov.ph,,not-fetched,,,,,,,,,,,,unavailable,,,,,
far1-2015,far1,true,FY 2015,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2015,FY,,http://www.web.psc.gov.ph/Transparency/2015/Final2015/SAOB%202015.pdf,www.web.psc.gov.ph,,not-fetched,,,,,,,,,,,,unavailable,,,,,
far1-2014,far1,true,FY 2014,II,Annual Financial Reports,"a. FAR No.1 : SAAOBDB (Statement of Appropriations, Allotment, Obligation, Disbursement and Balances)",2014,FY,,http://www.web.psc.gov.ph/Transparency/2015/SAOB%202014.pdf,www.web.psc.gov.ph,,not-fetched,,,,,,,,,,,,unavailable,,,,,
far4-2026-q2,far4,true,FY2026,II,Annual Financial Reports,b. Summary Report on Disbursements,2026,Q2,,https://psc.gov.ph/psc_site/wp-content/uploads/2026/07/FY2026_2ndQ_FAR-No.-4-Monthly-Report-of-Disbursement-April-June.pdf,psc.gov.ph,psc,live,,,,3966069,caec47e887f1d4b12929248c23738db5733577c086d784071122c4afb292cf94,6,,Thu Jul 23 03:20:19 2026 BST,938.16 x 612 pts,,data/raw/far4/2026/far4-2026-q2.pdf,pending,,,,,
far4-2025-q4,far4,true,FY 2025,II,Annual Financial Reports,b. Summary Report on Disbursements,2025,Q4,,https://psc.gov.ph/psc_site/wp-content/uploads/2026/02/FAR-4_4thQ-2025-julytoDec-1.pdf,psc.gov.ph,psc,live,,,,6612520,290c9d9a1d84fa759b58bb52d1fafbda2664221e8988ef6fd37edf60e486d981,12,Adobe Acrobat (64-bit) 25.1.21184,Mon Feb 16 06:43:47 2026 GMT,937.92 x 610.8 pts,,data/raw/far4/2025/far4-2025-q4.pdf,pending,,,,,
far4-2024,far4,true,FY 2024,II,Annual Financial Reports,b. Summary Report on Disbursements,2024,FY,,https://psc.gov.ph/psc_site/wp-content/uploads/2025/02/FAR4JANDEC2024.pdf,psc.gov.ph,psc,live,,,,12962638,a276cfedcb4d088dc397e4f45a6afab2cae1081778b87d924ce05b62076bacd0,24,Adobe Acrobat Pro (64-bit) 24.4.20243,Fri Feb 28 02:13:18 2025 GMT,938.64 x 610.08 pts,,data/raw/far4/2024/far4-2024.pdf,pending,,,,,
far4-2023-q4,far4,true,FY 2023,II,Annual Financial Reports,b. Summary Report on Disbursements,2023,Q4,,https://psc.gov.ph/psc_site/wp-content/uploads/2024/02/FAR4_4thQuarterFY2023.pdf,psc.gov.ph,psc,live,,,,3778419,e7815d4d8ac42d05f1e2f94bddf4ae037187653a9d3a68a2de67fd21e0283629,6,,Thu Feb  1 07:13:48 2024 GMT,937.44 x 611.76 pts,,data/raw/far4/2023/far4-2023-q4.pdf,pending,,,,,
far4-2022-q4,far4,true,FY 2022,II,Annual Financial Reports,b. Summary Report on Disbursements,2022,Q4,,https://psc.gov.ph/Transparency%20Seal/2022/FAR4_4thQ.pdf,psc.gov.ph,psc,live,,,,10420766,3a7a4fc50fccf16adc0d675e642a09be25e85fb5b939e009ca7fdee054cf581a,24,,,937.92 x 612.48 pts,,data/raw/far4/2022/far4-2022-q4.pdf,pending,,,,,
far4-2021-q4,far4,true,FY 2021,II,Annual Financial Reports,b. Summary Report on Disbursements,2021,Q4,,https://psc.gov.ph/Transparency%20Seal/2021/FAR4-2021-4Q.pdf,psc.gov.ph,psc,live,,,,4726279,862cb9b3176efec8b7a06e5f5fb5999fc27895041667ee5de28e887b68ef947c,24,Adobe Acrobat Pro DC (32-bit) 21.7.20091,Wed Feb  2 02:22:34 2022 GMT,1008 x 612 pts,,data/raw/far4/2021/far4-2021-q4.pdf,pending,,,,,
far4-2020-q4,far4,true,FY 2020,II,Annual Financial Reports,b. Summary Report on Disbursements,2020,Q4,,https://psc.gov.ph/Transparency%20Seal/2020/FAR4_4q.pdf,psc.gov.ph,psc,live,,,,8106858,e438fb52f1b537e8f4b104a62a85625a1723b01a183564040003ef25b23a1d51,42,Epson Scan 2,Wed Feb 17 07:26:55 2021 GMT,936 x 611 pts,,data/raw/far4/2020/far4-2020-q4.pdf,pending,,,,,
far4-2019-q4,far4,true,FY 2019,II,Annual Financial Reports,b. Summary Report on Disbursements,2019,Q4,,https://psc.gov.ph/Transparency%20Seal/2019/FAR%204_4q.pdf,psc.gov.ph,psc,live,,,,13459767,e4ce344a56aa21bbd566de9343d72a160e5d15718a8f43872591d546f8a3f226,26,Adobe Acrobat Pro 11.0.0,Fri Feb  7 23:46:45 2020 GMT,612 x 948 pts,,data/raw/far4/2019/far4-2019-q4.pdf,pending,,,,,
far4-2018-q4,far4,true,FY 2018,II,Annual Financial Reports,b. Summary Report on Disbursements,2018,Q4,,https://psc.gov.ph/Transparency%20Seal/2018/MRD_as%20of%204thQ.pdf,psc.gov.ph,psc,live,,,,13462399,27d8356111962768a5ddf55a57dd0fe82d49567130695d2716e782eed535f9e3,24,Adobe Acrobat Pro 11.0.0,Wed Feb 27 18:24:46 2019 GMT,613 x 903 pts,,data/raw/far4/2018/far4-2018-q4.pdf,pending,,,,,
far4-2017-q4,far4,true,FY 2017,II,Annual Financial Reports,b. Summary Report on Disbursements,2017,Q4,,https://psc.gov.ph/Transparency%20Seal/2017/FAR4%20-%20q4.pdf,psc.gov.ph,psc,live,,,,13908455,85d72fc32e142a253b97ca600d7580dff94b5de6f881735648888526aabf9949,24,Adobe Acrobat Pro 11.0.0,Thu Feb 22 00:18:29 2018 GMT,612 x 1008 pts,,data/raw/far4/2017/far4-2017-q4.pdf,pending,,,,,
far4-2016,far4,true,FY 2016,II,Annual Financial Reports,b. Summary Report on Disbursements,2016,FY,,http://www.web.psc.gov.ph/Transparency/2016/MRD%202016.pdf,www.web.psc.gov.ph,,not-fetched,,,,,,,,,,,,unavailable,,,,,
